spec_class,spec_num,temp,ci,seq,absmag
O,1,,,,
O,2,50100,-0.3904,V,-5.6
O,3,44850,-0.3815,V,-5.6
O,4,42860,-0.3774,V,-5.5
O,5,40860,-0.3728,V,-5.5
O,6,38870,-0.3677,V,-5.3
O,7,36870,-0.3619,V,-4.8
O,8,34880,-0.3554,V,-4.4
O,9,32880,-0.3481,V,-4.3
B,0,29000,-0.331,V,-4.1
B,1,24500,-0.3049,V,-3.5
B,2,19500,-0.2636,V,-2.5
B,3,16500,-0.2291,V,-1.7
B,4,15700,-0.2181,V,-1.4
B,5,15000,-0.2078,V,-1.1
B,6,13800,-0.1882,V,-0.9
B,7,13000,-0.1736,V,-0.4
B,8,11500,-0.1422,V,0
B,9,10700,-0.1228,V,0.7
A,0,9800,-0.0983,V,1.4
A,1,9500,-0.0893,V,1.6
A,2,8900,0.1004,V,1.9
A,3,8520,0.1703,V,2
A,4,8335,0.2054,V,2.05
A,5,8150,0.2413,V,2.1
A,6,7990,0.273,V,2.2
A,7,7830,0.3054,V,2.3
A,8,7605,0.352,V,2.4
A,9,7380,0.4001,V,2.9
F,0,7250,0.4285,V,3.5
F,1,7120,0.4575,V,3.9
F,2,7000,0.4847,V,4.2
F,3,6750,0.5428,V,4.4
F,4,6650,0.5667,V,4.6
F,5,6550,0.591,V,4.7
F,6,6400,0.628,V,4.8
F,7,6250,0.666,V,4.9
F,8,6170,0.6866,V,5.05
F,9,6010,0.7286,V,5.2
G,0,5900,0.7582,V,5.4
G,1,5800,0.7855,V,5.6
G,2,5750,0.7994,V,5.7
G,3,5710,0.8106,V,5.8
G,4,5690,0.8162,V,5.9
G,5,5620,0.836,V,6
G,6,5570,0.8503,V,6.1
G,7,5500,0.8705,V,6.2
G,8,5450,0.8851,V,6.3
G,9,5350,0.9147,V,6.4
K,0,5280,0.9358,V,6.45
K,1,5110,0.9882,V,6.5
K,2,4940,1.0423,V,6.7
K,3,4700,1.122,V,6.9
K,4,4550,1.1739,V,7.4
K,5,4400,1.2275,V,8
K,6,4265,1.2774,V,8.2
K,7,4130,1.3288,V,8.5
K,8,3995,1.382,V,8.7
K,9,3860,1.437,V,9
M,0,3760,1.479,V,9.2
M,1,3625,1.5375,V,10.6
M,2,3490,1.5982,V,12.1
M,3,3355,1.6613,V,13.5
M,4,3220,1.7271,V,13.9
M,5,3085,1.7956,V,14.5
M,6,2950,1.8672,V,14.9
M,7,2815,1.9421,V,15.4
M,8,2680,2.0208,V,
M,9,2545,2.1034,V,
O,1,,,IV,
O,2,50100,-0.3904,IV,
O,3,44850,-0.3815,IV,
O,4,42860,-0.3774,IV,
O,5,40860,-0.3728,IV,
O,6,38870,-0.3677,IV,
O,7,36870,-0.3619,IV,
O,8,34880,-0.3554,IV,-5
O,9,32880,-0.3481,IV,-4.6
B,0,29000,-0.331,IV,-3.9
B,1,24500,-0.3049,IV,-3
B,2,19500,-0.2636,IV,-2.3
B,3,16500,-0.2291,IV,-2
B,4,15700,-0.2181,IV,-1.6
B,5,15000,-0.2078,IV,-1.3
B,6,13800,-0.1882,IV,-1.3
B,7,13000,-0.1736,IV,-1
B,8,11500,-0.1422,IV,-0.5
B,9,10700,-0.1228,IV,0.3
A,0,9800,-0.0983,IV,0.3
A,1,9500,-0.0893,IV,0.5
A,2,8900,0.1004,IV,0.7
A,3,8520,0.1703,IV,0.95
A,4,8335,0.2054,IV,1.2
A,5,8150,0.2413,IV,1.35
A,6,7990,0.273,IV,1.5
A,7,7830,0.3054,IV,1.55
A,8,7605,0.352,IV,1.6
A,9,7380,0.4001,IV,1.7
F,0,7250,0.4285,IV,1.8
F,1,7120,0.4575,IV,1.9
F,2,7000,0.4847,IV,1.9
F,3,6750,0.5428,IV,2
F,4,6650,0.5667,IV,2.1
F,5,6550,0.591,IV,2.2
F,6,6400,0.628,IV,2.3
F,7,6250,0.666,IV,2.4
F,8,6170,0.6866,IV,2.6
F,9,6010,0.7286,IV,2.8
G,0,5900,0.7582,IV,2.9
G,1,5800,0.7855,IV,3
G,2,5750,0.7994,IV,3
G,3,5710,0.8106,IV,3.1
G,4,5690,0.8162,IV,3.2
G,5,5620,0.836,IV,3.2
G,6,5570,0.8503,IV,3.2
G,7,5500,0.8705,IV,3.2
